category,n_stimuli,model,layer,n_layers,layer_pct,rsa_mean,rsa_sem,noise_ceiling
Mechanical,39,wav2vec2,0,25,0.0,0.36235345748751907,0.021808605595602198,0.5926112534503797
Mechanical,39,wav2vec2,1,25,4.166666666666667,0.2863367992216056,0.020776245098521058,0.5926112534503797
Mechanical,39,wav2vec2,2,25,8.333333333333334,0.29358025304897206,0.021616379650068105,0.5926112534503797
Mechanical,39,wav2vec2,3,25,12.5,0.29523185046521694,0.022984564642472814,0.5926112534503797
Mechanical,39,wav2vec2,4,25,16.666666666666668,0.2990205360811121,0.02308331956617139,0.5926112534503797
Mechanical,39,wav2vec2,5,25,20.833333333333332,0.28811811970203244,0.023674462075624257,0.5926112534503797
Mechanical,39,wav2vec2,6,25,25.0,0.26970638261601515,0.025042126368301942,0.5926112534503797
Mechanical,39,wav2vec2,7,25,29.166666666666668,0.24553651171823962,0.02530045501298903,0.5926112534503797
Mechanical,39,wav2vec2,8,25,33.333333333333336,0.20541829852157564,0.025006613138125692,0.5926112534503797
Mechanical,39,wav2vec2,9,25,37.5,0.15010749375694757,0.023227740191233876,0.5926112534503797
Mechanical,39,wav2vec2,10,25,41.666666666666664,0.09538119560463157,0.02094579915011921,0.5926112534503797
Mechanical,39,wav2vec2,11,25,45.833333333333336,0.14890652129480336,0.02251522646829252,0.5926112534503797
Mechanical,39,wav2vec2,12,25,50.0,0.14232701797249964,0.023329686469950702,0.5926112534503797
Mechanical,39,wav2vec2,13,25,54.166666666666664,0.1624080869612151,0.022034395716101284,0.5926112534503797
Mechanical,39,wav2vec2,14,25,58.333333333333336,0.1547637195998666,0.022049727150339708,0.5926112534503797
Mechanical,39,wav2vec2,15,25,62.5,0.17746045870176957,0.02169033546762041,0.5926112534503797
Mechanical,39,wav2vec2,16,25,66.66666666666667,0.163050703289035,0.02030406746892007,0.5926112534503797
Mechanical,39,wav2vec2,17,25,70.83333333333333,0.16959343254775233,0.019834199151950376,0.5926112534503797
Mechanical,39,wav2vec2,18,25,75.0,0.1922179241891258,0.02120955671230813,0.5926112534503797
Mechanical,39,wav2vec2,19,25,79.16666666666667,0.17629171386867518,0.02099526863295121,0.5926112534503797
Mechanical,39,wav2vec2,20,25,83.33333333333333,0.18802662620934718,0.019770119966247456,0.5926112534503797
Mechanical,39,wav2vec2,21,25,87.5,0.22390497288213282,0.021339165803856395,0.5926112534503797
Mechanical,39,wav2vec2,22,25,91.66666666666667,0.1622698623741325,0.018896724351461214,0.5926112534503797
Mechanical,39,wav2vec2,23,25,95.83333333333333,0.15617900712240337,0.01725565052275116,0.5926112534503797
Mechanical,39,wav2vec2,24,25,100.0,0.15234668871213064,0.017570587162977228,0.5926112534503797
Mechanical,39,hubert,0,25,0.0,0.29764043144380786,0.021953404679698262,0.5926112534503797
Mechanical,39,hubert,1,25,4.166666666666667,0.31983103278535263,0.021630137300342682,0.5926112534503797
Mechanical,39,hubert,2,25,8.333333333333334,0.3144178853165945,0.02245705147174486,0.5926112534503797
Mechanical,39,hubert,3,25,12.5,0.29810335964258516,0.022908805557867982,0.5926112534503797
Mechanical,39,hubert,4,25,16.666666666666668,0.29736963176387216,0.024287303128987903,0.5926112534503797
Mechanical,39,hubert,5,25,20.833333333333332,0.26558803256916474,0.024857215121455705,0.5926112534503797
Mechanical,39,hubert,6,25,25.0,0.24075991817302644,0.02532033231857132,0.5926112534503797
Mechanical,39,hubert,7,25,29.166666666666668,0.218785134589504,0.024847142958553243,0.5926112534503797
Mechanical,39,hubert,8,25,33.333333333333336,0.21456170188543583,0.024984511575237053,0.5926112534503797
Mechanical,39,hubert,9,25,37.5,0.20540648929427477,0.02530974067860691,0.5926112534503797
Mechanical,39,hubert,10,25,41.666666666666664,0.21086117256425102,0.02641436283514563,0.5926112534503797
Mechanical,39,hubert,11,25,45.833333333333336,0.20337257109352444,0.026774009999850214,0.5926112534503797
Mechanical,39,hubert,12,25,50.0,0.1941737242333072,0.02667679570568753,0.5926112534503797
Mechanical,39,hubert,13,25,54.166666666666664,0.1974981028258089,0.026565207517782213,0.5926112534503797
Mechanical,39,hubert,14,25,58.333333333333336,0.19459777400194483,0.02633425778463468,0.5926112534503797
Mechanical,39,hubert,15,25,62.5,0.1921445353272563,0.02570608832075556,0.5926112534503797
Mechanical,39,hubert,16,25,66.66666666666667,0.18225588094505676,0.02564884330478745,0.5926112534503797
Mechanical,39,hubert,17,25,70.83333333333333,0.1869187944560338,0.025883310129262316,0.5926112534503797
Mechanical,39,hubert,18,25,75.0,0.18114325943521578,0.02587171438563265,0.5926112534503797
Mechanical,39,hubert,19,25,79.16666666666667,0.1791360299701909,0.02612836880760841,0.5926112534503797
Mechanical,39,hubert,20,25,83.33333333333333,0.17928995693643163,0.025764243537958826,0.5926112534503797
Mechanical,39,hubert,21,25,87.5,0.18358502658403358,0.026895289430053145,0.5926112534503797
Mechanical,39,hubert,22,25,91.66666666666667,0.17482112441893977,0.02690844163680496,0.5926112534503797
Mechanical,39,hubert,23,25,95.83333333333333,0.17711860457640005,0.027693473414848565,0.5926112534503797
Mechanical,39,hubert,24,25,100.0,0.17680950896442457,0.025466145644897808,0.5926112534503797
Mechanical,39,wavlm,0,13,0.0,0.27446678861276685,0.01771839123214076,0.5926112534503797
Mechanical,39,wavlm,1,13,8.333333333333334,0.3645943247283864,0.02340768285841586,0.5926112534503797
Mechanical,39,wavlm,2,13,16.666666666666668,0.27316262698089905,0.02510210421352276,0.5926112534503797
Mechanical,39,wavlm,3,13,25.0,0.26730375344079416,0.024569042798357824,0.5926112534503797
Mechanical,39,wavlm,4,13,33.333333333333336,0.246305761658294,0.024871616516597944,0.5926112534503797
Mechanical,39,wavlm,5,13,41.666666666666664,0.20068583031343712,0.020197552317392873,0.5926112534503797
Mechanical,39,wavlm,6,13,50.0,0.16060693647585406,0.019953795512218105,0.5926112534503797
Mechanical,39,wavlm,7,13,58.333333333333336,0.1417447086315011,0.019819470971044584,0.5926112534503797
Mechanical,39,wavlm,8,13,66.66666666666667,0.12913233295060506,0.020906988269439607,0.5926112534503797
Mechanical,39,wavlm,9,13,75.0,0.13025138258504693,0.020471665580334128,0.5926112534503797
Mechanical,39,wavlm,10,13,83.33333333333333,0.14160141704828896,0.020629792385076687,0.5926112534503797
Mechanical,39,wavlm,11,13,91.66666666666667,0.13915783309527105,0.021262112312011496,0.5926112534503797
Mechanical,39,wavlm,12,13,100.0,0.13393032555892537,0.0190756764082068,0.5926112534503797
Mechanical,39,whisper,0,7,0.0,0.07282517772090762,0.01174916949280415,0.5926112534503797
Mechanical,39,whisper,1,7,16.666666666666668,0.09235999326366756,0.015496917039526523,0.5926112534503797
Mechanical,39,whisper,2,7,33.333333333333336,0.09713586716565863,0.0139165574113033,0.5926112534503797
Mechanical,39,whisper,3,7,50.0,0.0775319997911855,0.01477352007656368,0.5926112534503797
Mechanical,39,whisper,4,7,66.66666666666667,0.08457402725029338,0.016100684656300858,0.5926112534503797
Mechanical,39,whisper,5,7,83.33333333333333,0.13141667077118918,0.016606058868391362,0.5926112534503797
Mechanical,39,whisper,6,7,100.0,0.035794959489100504,0.016183266914205303,0.5926112534503797
Mechanical,39,ast,0,13,0.0,0.14597259486534564,0.02247702291070853,0.5926112534503797
Mechanical,39,ast,1,13,8.333333333333334,0.16849433236722217,0.0199354923175002,0.5926112534503797
Mechanical,39,ast,2,13,16.666666666666668,0.1598717899561991,0.018896576607016147,0.5926112534503797
Mechanical,39,ast,3,13,25.0,0.16953429203180942,0.01671459834296808,0.5926112534503797
Mechanical,39,ast,4,13,33.333333333333336,0.14150100174926394,0.017564303006850027,0.5926112534503797
Mechanical,39,ast,5,13,41.666666666666664,0.14686889870107347,0.018417523867310975,0.5926112534503797
Mechanical,39,ast,6,13,50.0,0.16125094342572005,0.02019774591797983,0.5926112534503797
Mechanical,39,ast,7,13,58.333333333333336,0.1349133464029194,0.01772737406324537,0.5926112534503797
Mechanical,39,ast,8,13,66.66666666666667,0.1529849606364006,0.01738074045653531,0.5926112534503797
Mechanical,39,ast,9,13,75.0,0.1587810349826239,0.01769993756482397,0.5926112534503797
Mechanical,39,ast,10,13,83.33333333333333,0.127073915912049,0.01912828795727699,0.5926112534503797
Mechanical,39,ast,11,13,91.66666666666667,0.16132272636244832,0.017606102601461105,0.5926112534503797
Mechanical,39,ast,12,13,100.0,0.1574948541085582,0.017782104623223976,0.5926112534503797
EnvSound,27,wav2vec2,0,25,0.0,0.35456698856698854,0.019349317420197576,0.6860385586635586
EnvSound,27,wav2vec2,1,25,4.166666666666667,0.3618316544566545,0.018800137338844197,0.6860385586635586
EnvSound,27,wav2vec2,2,25,8.333333333333334,0.36797872960372957,0.01889400777325826,0.6860385586635586
EnvSound,27,wav2vec2,3,25,12.5,0.36266748529248527,0.01852698644334724,0.6860385586635586
EnvSound,27,wav2vec2,4,25,16.666666666666668,0.3567000222000222,0.018355011361185017,0.6860385586635586
EnvSound,27,wav2vec2,5,25,20.833333333333332,0.3463165306915307,0.018470121999133803,0.6860385586635586
EnvSound,27,wav2vec2,6,25,25.0,0.31448996836496834,0.018701241815847158,0.6860385586635586
EnvSound,27,wav2vec2,7,25,29.166666666666668,0.3087202658452658,0.01888718802679606,0.6860385586635586
EnvSound,27,wav2vec2,8,25,33.333333333333336,0.2826131784881785,0.01941101966383272,0.6860385586635586
EnvSound,27,wav2vec2,9,25,37.5,0.25590004440004444,0.017558711207375843,0.6860385586635586
EnvSound,27,wav2vec2,10,25,41.666666666666664,0.22792567155067153,0.016867213677228585,0.6860385586635586
EnvSound,27,wav2vec2,11,25,45.833333333333336,0.2515071733821734,0.016446073068826464,0.6860385586635586
EnvSound,27,wav2vec2,12,25,50.0,0.26293030580530574,0.01663863649240242,0.6860385586635586
EnvSound,27,wav2vec2,13,25,54.166666666666664,0.3135056748806749,0.016830477168891408,0.6860385586635586
EnvSound,27,wav2vec2,14,25,58.333333333333336,0.31964829614829615,0.01682695759831961,0.6860385586635586
EnvSound,27,wav2vec2,15,25,62.5,0.3470021783771784,0.017027921192623776,0.6860385586635586
EnvSound,27,wav2vec2,16,25,66.66666666666667,0.34468417693417697,0.01629920287077077,0.6860385586635586
EnvSound,27,wav2vec2,17,25,70.83333333333333,0.3420388916638917,0.016053898814900044,0.6860385586635586
EnvSound,27,wav2vec2,18,25,75.0,0.3698764013764014,0.01866399540881059,0.6860385586635586
EnvSound,27,wav2vec2,19,25,79.16666666666667,0.3794204406704407,0.020401417188425905,0.6860385586635586
EnvSound,27,wav2vec2,20,25,83.33333333333333,0.3984300005550005,0.020599995466264294,0.6860385586635586
EnvSound,27,wav2vec2,21,25,87.5,0.4108763458763459,0.020966471146394303,0.6860385586635586
EnvSound,27,wav2vec2,22,25,91.66666666666667,0.33018527306027307,0.023809610490798206,0.6860385586635586
EnvSound,27,wav2vec2,23,25,95.83333333333333,0.048586843711843714,0.015250795383462162,0.6860385586635586
EnvSound,27,wav2vec2,24,25,100.0,0.07208222333222333,0.014515502871101366,0.6860385586635586
EnvSound,27,hubert,0,25,0.0,0.3653989205239206,0.019894784452024007,0.6860385586635586
EnvSound,27,hubert,1,25,4.166666666666667,0.3852046842046842,0.020466234964094113,0.6860385586635586
