species,file,row_index,common_name,collection,author,duration_s,n_clips,fold
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0000.wav,0,American Kestrel,iNat,Unknown,3.948,1,0
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0001.wav,1,American Kestrel,XC,Nicole Henriod,4.55,1,1
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0002.wav,2,American Kestrel,XC,Dan Lane,17.398,3,2
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0003.wav,3,American Kestrel,iNat,Unknown,6.29,1,3
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0004.wav,4,American Kestrel,iNat,Tser,1.864,1,4
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0005.wav,5,American Kestrel,XC,Janine McCabe,159.898,31,0
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0006.wav,6,American Kestrel,XC,Ed Pandolfino,6.986,1,1
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0007.wav,7,American Kestrel,XC,Bernabé López-Lanus (Colección de Sonidos Ambientales - Instituto Humboldt),85.882,17,2
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0008.wav,8,American Kestrel,iNat,Carlos M Vieyra-Rojas,47.754,9,3
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0009.wav,9,American Kestrel,XC,Edward Caillouet,15.308,3,4
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0010.wav,10,American Kestrel,iNat,Unknown,15.726,3,0
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0011.wav,11,American Kestrel,iNat,Unknown,10.19,2,1
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0012.wav,12,American Kestrel,XC,Fernando Igor de Godoy,3.504,1,2
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0013.wav,13,American Kestrel,iNat,Maureen Clare Murphy,19.714,3,3
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0014.wav,14,American Kestrel,iNat,Erin Haase,16.418,3,4
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0015.wav,15,American Kestrel,XC,Bobby Wilcox,18.25,3,0
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0016.wav,16,American Kestrel,XC,Matthias Feuersenger,12.01,2,1
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0017.wav,17,American Kestrel,XC,Guilherme de Melo Becher,11.066,2,2
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0018.wav,18,American Kestrel,XC,Paul Driver,109.666,21,3
amekes,/scratch/pdoshi/audio_comp/birdclef_audio/amekes_0019.wav,19,American Kestrel,XC,Manuel Grosselet,29.598,5,4
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0020.wav,20,Bananaquit,iNat,Unknown,32.014,6,0
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0021.wav,21,Bananaquit,XC,Yair G. Molina M.,33.726,6,1
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0022.wav,22,Bananaquit,iNat,Christopher Rustay,29.038,5,2
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0023.wav,23,Bananaquit,XC,Fernando Igor de Godoy,3.538,1,3
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0024.wav,24,Bananaquit,iNat,Zac Peterson,11.044,2,4
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0025.wav,25,Bananaquit,XC,Sue Riffe,22.81,4,0
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0026.wav,26,Bananaquit,XC,Daniel Lane,45.062,9,1
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0027.wav,27,Bananaquit,iNat,Victor,28.736,5,2
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0028.wav,28,Bananaquit,iNat,Evandro Mariano,29.052,5,3
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0029.wav,29,Bananaquit,XC,Cristhian David Gaitán García,17.574,3,4
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0030.wav,30,Bananaquit,XC,David Bradley,17.026,3,0
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0031.wav,31,Bananaquit,XC,Odirlei Vieira da Fonseca,192.41,38,1
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0032.wav,32,Bananaquit,XC,Franco Vushurovich,39.56,7,2
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0033.wav,33,Bananaquit,XC,Bobby Wilcox,46.222,9,3
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0034.wav,34,Bananaquit,XC,Tulio Dornas,12.25,2,4
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0035.wav,35,Bananaquit,XC,Dan Lane,73.69,14,0
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0036.wav,36,Bananaquit,XC,Mauricio Cuéllar Ramírez,18.422,3,1
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0037.wav,37,Bananaquit,XC,Niels Krabbe,30.582,6,2
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0038.wav,38,Bananaquit,XC,Niels Krabbe,28.342,5,3
banana,/scratch/pdoshi/audio_comp/birdclef_audio/banana_0039.wav,39,Bananaquit,XC,JAYRSON ARAUJO DE OLIVEIRA,71.882,14,4
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0040.wav,40,Black-bellied Whistling-Duck,XC,Manuel Grosselet,9.814,1,0
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0041.wav,41,Black-bellied Whistling-Duck,XC,JAYRSON ARAUJO DE OLIVEIRA,3.358,1,1
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0042.wav,42,Black-bellied Whistling-Duck,XC,JAYRSON ARAUJO DE OLIVEIRA,31.626,6,2
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0043.wav,43,Black-bellied Whistling-Duck,iNat,Luciano Bernardes,26.646,5,3
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0044.wav,44,Black-bellied Whistling-Duck,XC,Jerome Fischer,10.174,2,4
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0045.wav,45,Black-bellied Whistling-Duck,iNat,pat,22.738,4,0
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0046.wav,46,Black-bellied Whistling-Duck,XC,Paul Marvin,78.97,15,1
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0047.wav,47,Black-bellied Whistling-Duck,iNat,Unknown,21.972,4,2
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0048.wav,48,Black-bellied Whistling-Duck,iNat,Bill Pranty,58.062,11,3
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0049.wav,49,Black-bellied Whistling-Duck,iNat,Fundación Dodo Colombia,16.074,3,4
