vessel_class,file,record_id,duration_s,n_clips,fold,vessel_name,date,time,range_field,metadata_confidence
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/103.wav,103,199.0,19,2,SEASPAN SWIFT,20171214,213748,1123-1596,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/110.wav,110,202.0,20,0,SEASPAN SWIFT,20171215,214529,1145-1803,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/15.wav,15,187.0,18,1,NEW NADA,20171114,195740,1972-1333,exact
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/27.wav,27,196.0,19,2,SEASPAN RELIANT,20171118,055532,980-1905,exact
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/38.wav,38,196.0,19,0,ARIES LEADER,20171123,004508,1043-1734,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/41.wav,41,183.0,18,1,PRINCESS SUPERIOR,20171124,134001,1374-1945,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/44.wav,44,200.0,20,1,WESTWOOD COLUMBIA,20171125,120743,1785-787,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/62.wav,62,198.0,19,1,ANASTASIA,20171202,123015,1750-902,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/69.wav,69,184.0,18,2,PRINCESS SUPERIOR,20171205,030344,1856-1966,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/78.wav,78,194.0,19,2,CMA CGM,20171207,010450,1952-593,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/96.wav,96,199.0,19,0,STAR HARMONIA,20171213,154210,1630-676,mismatch
cargo,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Cargo/99.wav,99,186.0,18,0,BRAZEN,20171213,234857,1695-475,mismatch
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/1.wav,1,37.0,3,2,QUEEN OF,20160505,125658,1593-1730,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/12.wav,12,18.0,1,2,MALASPINA,20160528,040358,1782-1853,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/14.wav,14,48.0,4,0,QUEEN OF,20160601,035047,1597-1921,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/16.wav,16,11.0,1,0,MALASPINA,20160604,040249,1601-1590,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/17.wav,17,26.0,2,0,COASTAL RENAISSANCE,20160606,153056,1619-1378,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/23.wav,23,130.0,13,1,BOWEN QUEEN,20160629,135115,333-363,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/27.wav,27,33.0,3,0,KENNICOTT,20160724,035758,1242-1395,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/29.wav,29,36.0,3,1,CRYSTAL SERENITY,20160727,111808,696-931,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/30.wav,30,6.0,0,2,COLUMBIA,20160806,035410,1800-1960,mismatch
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/31.wav,31,16.0,1,1,KENNICOTT,20160807,043508,1571-1619,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/32.wav,32,54.0,5,0,COLUMBIA,20160813,040611,1999-1998,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/33.wav,33,112.0,11,2,COASTAL INSPIRATION,20160820,202935,1028-1130,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/37.wav,37,162.0,16,1,COLUMBIA,20160827,043733,1667-1880,mismatch
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/4.wav,4,204.0,20,0,MALASPINA,20160507,043512,1453-1881,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/41.wav,41,23.0,2,1,CELEBRITY SOLSTICE,20160909,114625,1474-1651,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/5.wav,5,14.0,1,2,RUBY PRINCESS,20160507,115325,1089-1187,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/50.wav,50,163.0,16,2,COASTAL INSPIRATION,20161214,162017,1419-1465,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/6.wav,6,30.0,3,2,COASTAL INSPIRATION,20160507,202625,1430-1665,exact
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/8.wav,8,12.0,1,0,KENNICOTT,20160515,062337,1999-1940,exact
