clip_id,category,source_dataset,license,path,sample_rate,duration_sec
fma_small/093710,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__093710.wav,44100,30.003
fma_small/052380,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__052380.wav,44100,30.003
fma_small/093918,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__093918.wav,44100,29.977
fma_small/072612,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__072612.wav,44100,29.977
fma_small/000676,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__000676.wav,44100,29.977
fma_small/137419,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__137419.wav,44100,29.977
fma_small/108837,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__108837.wav,44100,29.977
fma_small/096169,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__096169.wav,44100,29.977
fma_small/037911,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__037911.wav,44100,29.977
fma_small/087106,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__087106.wav,44100,30.003
fma_small/138068,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__138068.wav,44100,30.003
fma_small/108418,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__108418.wav,44100,29.977
fma_small/087100,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__087100.wav,44100,30.003
fma_small/019459,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__019459.wav,44100,30.003
fma_small/124477,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__124477.wav,44100,29.977
fma_small/134931,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__134931.wav,44100,30.003
fma_small/082231,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__082231.wav,44100,29.977
fma_small/026465,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__026465.wav,44100,30.003
fma_small/109448,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__109448.wav,44100,30.003
fma_small/138317,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__138317.wav,44100,30.003
fma_small/092546,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__092546.wav,44100,29.977
fma_small/026681,music,fma_small,"CC-BY family (per-track, see fma_metadata/tracks.csv)",probe_set/music/fma_small__026681.wav,44100,29.977
