,ast,audio_jepa,audiomae,bird_mae,birdnet,clap,data2vec_audio,hubert,mert,mms,music2vec,musicfm,panns_cnn14,sew,unispeech_sat,wav2vec2,wav2vec2_conformer,whisper
ast,1.0000,0.5979,0.3410,0.5837,0.6014,0.7665,0.2940,0.5715,0.4497,0.4594,0.2876,0.5919,0.8434,0.4908,0.5848,0.4578,0.5830,0.5841
audio_jepa,0.5979,1.0000,0.3731,0.4896,0.3067,0.5036,0.2358,0.2592,0.2071,0.5134,0.1796,0.3810,0.4573,0.2756,0.3135,0.1326,0.4387,0.7849
audiomae,0.3410,0.3731,1.0000,0.3938,0.2367,0.2751,0.1630,0.2798,0.1568,0.2901,0.1902,0.2211,0.3115,0.2352,0.2889,0.1792,0.3185,0.3776
bird_mae,0.5837,0.4896,0.3938,1.0000,0.5465,0.5819,0.2861,0.6363,0.2709,0.4567,0.3382,0.4796,0.6213,0.5034,0.6550,0.4997,0.6225,0.4385
birdnet,0.6014,0.3067,0.2367,0.5465,1.0000,0.6570,0.2530,0.5159,0.3516,0.2828,0.2429,0.6140,0.6259,0.4104,0.5361,0.3945,0.4657,0.2725
clap,0.7665,0.5036,0.2751,0.5819,0.6570,1.0000,0.3042,0.4857,0.3649,0.3808,0.2670,0.6749,0.7471,0.4448,0.5369,0.3399,0.5131,0.4211
data2vec_audio,0.2940,0.2358,0.1630,0.2861,0.2530,0.3042,1.0000,0.2630,0.1272,0.2199,0.1473,0.2590,0.2633,0.2713,0.3648,0.1161,0.3000,0.2316
hubert,0.5715,0.2592,0.2798,0.6363,0.5159,0.4857,0.2630,1.0000,0.5764,0.4091,0.2837,0.4514,0.6536,0.6778,0.7943,0.7994,0.6691,0.3081
mert,0.4497,0.2071,0.1568,0.2709,0.3516,0.3649,0.1272,0.5764,1.0000,0.2133,0.1496,0.5204,0.4600,0.4832,0.4448,0.4089,0.3554,0.1820
mms,0.4594,0.5134,0.2901,0.4567,0.2828,0.3808,0.2199,0.4091,0.2133,1.0000,0.2092,0.2944,0.4326,0.3646,0.4304,0.3372,0.4562,0.5116
music2vec,0.2876,0.1796,0.1902,0.3382,0.2429,0.2670,0.1473,0.2837,0.1496,0.2092,1.0000,0.2169,0.3118,0.2290,0.2896,0.2072,0.2604,0.2181
musicfm,0.5919,0.3810,0.2211,0.4796,0.6140,0.6749,0.2590,0.4514,0.5204,0.2944,0.2169,1.0000,0.5640,0.4111,0.4869,0.2978,0.4357,0.2763
panns_cnn14,0.8434,0.4573,0.3115,0.6213,0.6259,0.7471,0.2633,0.6536,0.4600,0.4326,0.3118,0.5640,1.0000,0.5476,0.6280,0.5741,0.6039,0.4758
sew,0.4908,0.2756,0.2352,0.5034,0.4104,0.4448,0.2713,0.6778,0.4832,0.3646,0.2290,0.4111,0.5476,1.0000,0.6236,0.5828,0.5475,0.3033
unispeech_sat,0.5848,0.3135,0.2889,0.6550,0.5361,0.5369,0.3648,0.7943,0.4448,0.4304,0.2896,0.4869,0.6280,0.6236,1.0000,0.6374,0.6490,0.3546
wav2vec2,0.4578,0.1326,0.1792,0.4997,0.3945,0.3399,0.1161,0.7994,0.4089,0.3372,0.2072,0.2978,0.5741,0.5828,0.6374,1.0000,0.5443,0.2221
wav2vec2_conformer,0.5830,0.4387,0.3185,0.6225,0.4657,0.5131,0.3000,0.6691,0.3554,0.4562,0.2604,0.4357,0.6039,0.5475,0.6490,0.5443,1.0000,0.4692
whisper,0.5841,0.7849,0.3776,0.4385,0.2725,0.4211,0.2316,0.3081,0.1820,0.5116,0.2181,0.2763,0.4758,0.3033,0.3546,0.2221,0.4692,1.0000
