model,condition,fold,accuracy
sew,lora,0,0.20146764509673115
sew,lora,1,0.13071895424836602
sew,lora,2,0.14577777777777778
sew,lora,3,0.19903691813804172
sew,lora,4,0.13602941176470587
sew,lora,mean,0.1626061414051245
sew,allora,0,0.17678452301534356
sew,allora,1,0.11038489469862019
sew,allora,2,0.15911111111111112
sew,allora,3,0.2447833065810594
sew,allora,4,0.13970588235294118
sew,allora,mean,0.16615394355181506
data2vec_audio,lora,0,0.03935957304869913
data2vec_audio,lora,1,0.06390704429920116
data2vec_audio,lora,2,0.03911111111111111
data2vec_audio,lora,3,0.08105939004815409
data2vec_audio,lora,4,0.03768382352941176
data2vec_audio,lora,mean,0.05222418840731545
data2vec_audio,allora,0,0.09406270847231488
data2vec_audio,allora,1,0.06172839506172839
data2vec_audio,allora,2,0.027555555555555555
data2vec_audio,allora,3,0.10513643659711075
data2vec_audio,allora,4,0.08455882352941177
data2vec_audio,allora,mean,0.07460838384322428
unispeech_sat,lora,0,0.2274849899933289
unispeech_sat,lora,1,0.19753086419753085
unispeech_sat,lora,2,0.1751111111111111
unispeech_sat,lora,3,0.2736757624398074
unispeech_sat,lora,4,0.16268382352941177
unispeech_sat,lora,mean,0.207297310254238
unispeech_sat,allora,0,0.22548365577051369
unispeech_sat,allora,1,0.16122004357298475
unispeech_sat,allora,2,0.1768888888888889
unispeech_sat,allora,3,0.3001605136436597
unispeech_sat,allora,4,0.16911764705882354
unispeech_sat,allora,mean,0.2065741497869741
music2vec,lora,0,0.17678452301534356
music2vec,lora,1,0.05954974582425563
music2vec,lora,2,0.08177777777777778
music2vec,lora,3,0.12279293739967898
music2vec,lora,4,0.10477941176470588
music2vec,lora,mean,0.10913687915635235
music2vec,allora,0,0.1821214142761841
music2vec,allora,1,0.074800290486565
music2vec,allora,2,0.064
music2vec,allora,3,0.15248796147672553
music2vec,allora,4,0.08915441176470588
music2vec,allora,mean,0.1125128156008361
panns_cnn14,frozen,0,0.21347564458847046
panns_cnn14,frozen,1,0.14015977084636688
panns_cnn14,frozen,2,0.17866666615009308
panns_cnn14,frozen,3,0.07223113626241684
panns_cnn14,frozen,4,0.12683823704719543
panns_cnn14,frozen,mean,0.14627429097890854
data2vec_audio,frozen,0,0.038025349378585815
data2vec_audio,frozen,1,0.047204066067934036
data2vec_audio,frozen,2,0.029333332553505898
data2vec_audio,frozen,3,0.0882825031876564
data2vec_audio,frozen,4,0.03216911852359772
data2vec_audio,frozen,mean,0.047002873942255975
sew,frozen,0,0.036691129207611084
sew,frozen,1,0.047204066067934036
sew,frozen,2,0.0560000017285347
sew,frozen,3,0.03531300276517868
sew,frozen,4,0.033088237047195435
sew,frozen,mean,0.04165928736329079
bird_mae,frozen,0,0.24082721769809723
bird_mae,frozen,1,0.09295570105314255
bird_mae,frozen,2,0.108444444835186
bird_mae,frozen,3,0.051364365965127945
bird_mae,frozen,4,0.10018382221460342
bird_mae,frozen,mean,0.11875511035323143
audio_jepa,frozen,0,0.09272848814725876
audio_jepa,frozen,1,0.03848946839570999
audio_jepa,frozen,2,0.02311111055314541
audio_jepa,frozen,3,0.06420546025037766
audio_jepa,frozen,4,0.04779411852359772
audio_jepa,frozen,mean,0.05326572917401791
unispeech_sat,frozen,0,0.19079385697841644
unispeech_sat,frozen,1,0.07334785908460617
unispeech_sat,frozen,2,0.058666665107011795
unispeech_sat,frozen,3,0.16051363945007324
unispeech_sat,frozen,4,0.06525735557079315
unispeech_sat,frozen,mean,0.10971587523818016
bird_mae,allora,0,0.43829219479653103
bird_mae,allora,1,0.35076252723311546
bird_mae,allora,2,0.37066666666666664
bird_mae,allora,3,0.45024077046548955
bird_mae,allora,4,0.4025735294117647
bird_mae,allora,mean,0.4025071377147135
audiomae,frozen,0,0.14142762124538422
audiomae,frozen,1,0.056644879281520844
audiomae,frozen,2,0.035555556416511536
audiomae,frozen,3,0.03611556813120842
audiomae,frozen,4,0.03125
audiomae,frozen,mean,0.060198725014925
musicfm,frozen,0,0.23148766160011292
musicfm,frozen,1,0.07116920500993729
musicfm,frozen,2,0.08355555683374405
musicfm,frozen,3,0.25521668791770935
musicfm,frozen,4,0.09558823704719543
musicfm,frozen,mean,0.1474034696817398
bird_mae,lora,0,0.5023348899266178
bird_mae,lora,1,0.3936092955700799
bird_mae,lora,2,0.4097777777777778
bird_mae,lora,3,0.48314606741573035
bird_mae,lora,4,0.40349264705882354
bird_mae,lora,mean,0.43847213554980585
music2vec,frozen,0,0.040693797171115875
music2vec,frozen,1,0.0239651408046484
music2vec,frozen,2,0.04533333331346512
music2vec,frozen,3,0.0818619579076767
music2vec,frozen,4,0.02757352963089943
music2vec,frozen,mean,0.0438855517655611
wavlm,lora,0,0.14809873248832556
wavlm,lora,1,0.023238925199709513
wavlm,lora,2,0.064
wavlm,lora,3,0.12118780096308186
wavlm,lora,4,0.06066176470588235
wavlm,lora,mean,0.08343744467139987
ast,frozen,0,0.4402935206890106
ast,frozen,1,0.3507625162601471
ast,frozen,2,0.3324444591999054
ast,frozen,3,0.44622793793678284
ast,frozen,4,0.3694852888584137
ast,frozen,mean,0.38784274458885193
hubert,frozen,0,0.03869246318936348
hubert,frozen,1,0.05882352963089943
hubert,frozen,2,0.04977777600288391
hubert,frozen,3,0.05858748033642769
hubert,frozen,4,0.06525735557079315
hubert,frozen,mean,0.05422772094607353
wavlm,frozen,0,0.14142762124538422
wavlm,frozen,1,0.04429920017719269
wavlm,frozen,2,0.03999999910593033
wavlm,frozen,3,0.08025681972503662
wavlm,frozen,4,0.048713237047195435
wavlm,frozen,mean,0.07093937546014786
wavlm,allora,0,0.1380920613742495
wavlm,allora,1,0.021060275962236745
wavlm,allora,2,0.06133333333333333
wavlm,allora,3,0.12038523274478331
wavlm,allora,4,0.058823529411764705
wavlm,allora,mean,0.07993888656527352
clap,frozen,0,0.14209473133087158
clap,frozen,1,0.05882352963089943
clap,frozen,2,0.024000000208616257
clap,frozen,3,0.1556982398033142
clap,frozen,4,0.06341911852359772
clap,frozen,mean,0.08880712389945984
mert,frozen,0,0.1380920559167862
mert,frozen,1,0.014524328522384167
mert,frozen,2,0.02311111055314541
mert,frozen,3,0.11155698448419571
mert,frozen,4,0.04779411852359772
mert,frozen,mean,0.06701571960002184
mms,frozen,0,0.060040026903152466
mms,frozen,1,0.02469135820865631
mms,frozen,2,0.009777777828276157
mms,frozen,3,0.05056179687380791
mms,frozen,4,0.029411764815449715
mms,frozen,mean,0.03489654492586851
whisper,frozen,0,0.044029351323843
whisper,frozen,1,0.03703703731298447
whisper,frozen,2,0.011555555276572704
whisper,frozen,3,0.04815409332513809
whisper,frozen,4,0.03216911852359772
whisper,frozen,mean,0.034589031152427195
wav2vec2,frozen,0,0.02334889955818653
wav2vec2,frozen,1,0.0210602767765522
wav2vec2,frozen,2,0.0142222223803401
wav2vec2,frozen,3,0.020866774022579193
wav2vec2,frozen,4,0.022058824077248573
wav2vec2,frozen,mean,0.02031139936298132
encodecmae,frozen,0,0.1647765189409256
encodecmae,frozen,1,0.026870006695389748
encodecmae,frozen,2,0.05066666752099991
encodecmae,frozen,3,0.14125201106071472
encodecmae,frozen,4,0.05790441110730171
encodecmae,frozen,mean,0.08829392306506634
wav2vec2_conformer,frozen,0,0.17344896495342255
wav2vec2_conformer,frozen,1,0.06172839552164078
wav2vec2_conformer,frozen,2,0.06488888710737228
wav2vec2_conformer,frozen,3,0.0987158939242363
wav2vec2_conformer,frozen,4,0.06158088147640228
wav2vec2_conformer,frozen,mean,0.09207260459661484
hubert,lora,0,0.2501667778519013
hubert,lora,1,0.19898329702251272
hubert,lora,2,0.23466666666666666
hubert,lora,3,0.31781701444622795
hubert,lora,4,0.22518382352941177
hubert,lora,mean,0.24536351590334404
hubert,allora,0,0.2294863242161441
hubert,allora,1,0.1568627450980392
hubert,allora,2,0.21333333333333335
hubert,allora,3,0.2841091492776886
hubert,allora,4,0.21783088235294118
hubert,allora,mean,0.22032448685562928
mms,lora,0,0.20413609072715144
mms,lora,1,0.17501815541031226
mms,lora,2,0.18222222222222223
mms,lora,3,0.26163723916532905
mms,lora,4,0.17738970588235295
mms,lora,mean,0.2000806826814736
mms,allora,0,0.25883922615076715
mms,allora,1,0.14814814814814814
mms,allora,2,0.15911111111111112
mms,allora,3,0.2841091492776886
mms,allora,4,0.20496323529411764
mms,allora,mean,0.21103417399636654
wav2vec2,lora,0,0.07004669779853236
wav2vec2,lora,1,0.04938271604938271
wav2vec2,lora,2,0.06488888888888888
wav2vec2,lora,3,0.0826645264847512
wav2vec2,lora,4,0.058823529411764705
wav2vec2,lora,mean,0.06516127172666397
whisper,allora,0,0.30887258172114745
whisper,allora,1,0.22076978939724037
whisper,allora,2,0.2951111111111111
whisper,allora,3,0.37720706260032105
whisper,allora,4,0.2913602941176471
whisper,allora,mean,0.29866416778949345
wav2vec2,allora,0,0.13675783855903936
wav2vec2,allora,1,0.07262164124909223
wav2vec2,allora,2,0.06133333333333333
wav2vec2,allora,3,0.09229534510433386
wav2vec2,allora,4,0.07904411764705882
wav2vec2,allora,mean,0.08841045517857152
whisper,lora,0,0.30420280186791193
whisper,lora,1,0.2214960058097313
whisper,lora,2,0.27555555555555555
whisper,lora,3,0.41653290529695025
whisper,lora,4,0.28400735294117646
whisper,lora,mean,0.3003589242942651
mert,lora,0,0.34156104069379584
mert,lora,1,0.28903413217138707
mert,lora,2,0.29777777777777775
mert,lora,3,0.4317817014446228
mert,lora,4,0.2849264705882353
mert,lora,mean,0.3290162245351637
mert,allora,0,0.3482321547698466
mert,allora,1,0.24836601307189543
mert,allora,2,0.24266666666666667
mert,allora,3,0.35714285714285715
mert,allora,4,0.30974264705882354
mert,allora,mean,0.3012300677420179
clap,lora,0,0.28418945963975983
clap,lora,1,0.15250544662309368
clap,lora,2,0.176
clap,lora,3,0.24398073836276082
clap,lora,4,0.19761029411764705
clap,lora,mean,0.21085718774865225
clap,allora,0,0.33488992661774514
clap,allora,1,0.1728395061728395
clap,allora,2,0.19822222222222222
clap,allora,3,0.24719101123595505
clap,allora,4,0.21875
clap,allora,mean,0.23437853324975239
ast,lora,0,0.5770513675783856
ast,lora,1,0.43064633260711693
ast,lora,2,0.4782222222222222
ast,lora,3,0.5810593900481541
ast,lora,4,0.4889705882352941
ast,lora,mean,0.5111899801382346
ast,allora,0,0.5310206804536357
ast,allora,1,0.4277414669571532
ast,allora,2,0.44266666666666665
ast,allora,3,0.5666131621187801
ast,allora,4,0.4641544117647059
ast,allora,mean,0.48643927759218836
wav2vec2_conformer,lora,0,0.19679786524349566
wav2vec2_conformer,lora,1,0.1205519244734931
wav2vec2_conformer,lora,2,0.17422222222222222
wav2vec2_conformer,lora,3,0.24317817014446227
wav2vec2_conformer,lora,4,0.17003676470588236
wav2vec2_conformer,lora,mean,0.1809573893579111
wav2vec2_conformer,allora,0,0.1581054036024016
wav2vec2_conformer,allora,1,0.11837327523602033
wav2vec2_conformer,allora,2,0.12
wav2vec2_conformer,allora,3,0.18619582664526485
wav2vec2_conformer,allora,4,0.15992647058823528
wav2vec2_conformer,allora,mean,0.14852019521438442
