model,condition,accuracy
audiomae,frozen,0.41624999046325684
audio_jepa,frozen,0.3512499928474426
bird_mae,frozen,0.42875000834465027
clap,frozen,0.550000011920929
ast,frozen,0.4975000023841858
bird_mae,lora,0.445
ast,allora,0.5425
panns_cnn14,frozen,0.5287500023841858
sew,frozen,0.23999999463558197
data2vec_audio,frozen,0.20000000298023224
whisper,frozen,0.39375001192092896
musicfm,frozen,0.45375001430511475
unispeech_sat,frozen,0.3387500047683716
music2vec,frozen,0.2887499928474426
ast,lora,0.55375
whisper,allora,0.5225
sew,allora,0.3225
mert,frozen,0.3675000071525574
hubert,frozen,0.2837499976158142
mms,frozen,0.23874999582767487
encodecmae,frozen,0.42124998569488525
bird_mae,allora,0.4825
wav2vec2,frozen,0.125
clap,lora,0.5825
sew,lora,0.37625
clap,allora,0.58125
whisper,lora,0.55
music2vec,allora,0.57375
data2vec_audio,lora,0.385
unispeech_sat,allora,0.4575
unispeech_sat,lora,0.45875
data2vec_audio,allora,0.36125
music2vec,lora,0.56625
wavlm,frozen,0.3199999928474426
wavlm,lora,0.36125
hubert,lora,0.33125
mms,allora,0.42125
hubert,allora,0.32875
wav2vec2,lora,0.34125
wav2vec2_conformer,frozen,0.25874999165534973
wavlm,allora,0.3525
wav2vec2,allora,0.33875
mms,lora,0.4
wav2vec2_conformer,allora,0.34375
wav2vec2_conformer,lora,0.34125
mert,lora,0.53125
