model,condition,fold,accuracy
sew,lora,1,0.6380297823596792
sew,lora,4,0.5818181818181818
sew,lora,7,0.5202863961813843
sew,lora,10,0.6176821983273596
sew,lora,mean,0.5894541396716513
sew,allora,1,0.586483390607102
sew,allora,4,0.6090909090909091
sew,allora,7,0.5727923627684964
sew,allora,10,0.5985663082437276
sew,allora,mean,0.5917332426775588
panns_cnn14,frozen,1,0.8213058710098267
panns_cnn14,frozen,4,0.6808080673217773
panns_cnn14,frozen,7,0.7100238800048828
panns_cnn14,frozen,10,0.7670251131057739
panns_cnn14,frozen,mean,0.7447907328605652
sew,frozen,1,0.2703321874141693
sew,frozen,4,0.2626262605190277
sew,frozen,7,0.2792362868785858
sew,frozen,10,0.3082437217235565
sew,frozen,mean,0.28010961413383484
audio_jepa,frozen,1,0.3310423791408539
audio_jepa,frozen,4,0.3141414225101471
audio_jepa,frozen,7,0.3424820899963379
audio_jepa,frozen,10,0.46833929419517517
audio_jepa,frozen,mean,0.3640012964606285
unispeech_sat,allora,1,0.6105383734249714
unispeech_sat,allora,4,0.6484848484848484
unispeech_sat,allora,7,0.5883054892601431
unispeech_sat,allora,10,0.6845878136200717
unispeech_sat,allora,mean,0.6329791311975087
unispeech_sat,lora,1,0.6678121420389461
unispeech_sat,lora,4,0.5909090909090909
unispeech_sat,lora,7,0.5596658711217184
unispeech_sat,lora,10,0.6535244922341696
unispeech_sat,lora,mean,0.6179778990759812
musicfm,frozen,1,0.6529209613800049
musicfm,frozen,4,0.596969723701477
musicfm,frozen,7,0.6241050362586975
musicfm,frozen,10,0.6630824208259583
musicfm,frozen,mean,0.6342695355415344
bird_mae,frozen,1,0.6998854279518127
bird_mae,frozen,4,0.6090909242630005
bird_mae,frozen,7,0.6121718287467957
bird_mae,frozen,10,0.7037037014961243
bird_mae,frozen,mean,0.6562129706144333
music2vec,frozen,1,0.3333333432674408
music2vec,frozen,4,0.243434339761734
music2vec,frozen,7,0.25417661666870117
music2vec,frozen,10,0.3715651035308838
music2vec,frozen,mean,0.30062735080718994
data2vec_audio,frozen,1,0.29209622740745544
data2vec_audio,frozen,4,0.18080808222293854
data2vec_audio,frozen,7,0.13126491010189056
data2vec_audio,frozen,10,0.16965351998806
data2vec_audio,frozen,mean,0.19345568493008614
ast,frozen,1,0.812142014503479
ast,frozen,4,0.8111110925674438
ast,frozen,7,0.7684963941574097
ast,frozen,10,0.8231779932975769
ast,frozen,mean,0.8037318736314774
audiomae,frozen,1,0.5876288414001465
audiomae,frozen,4,0.47373735904693604
audiomae,frozen,7,0.4844868779182434
audiomae,frozen,10,0.5316606760025024
audiomae,frozen,mean,0.5193784385919571
unispeech_sat,frozen,1,0.3814432919025421
unispeech_sat,frozen,4,0.435353547334671
unispeech_sat,frozen,7,0.42482098937034607
unispeech_sat,frozen,10,0.38829150795936584
unispeech_sat,frozen,mean,0.40747733414173126
clap,frozen,1,0.7594501972198486
clap,frozen,4,0.7323232293128967
clap,frozen,7,0.7255370020866394
clap,frozen,10,0.7622461318969727
clap,frozen,mean,0.7448891401290894
music2vec,lora,1,0.5990836197021764
music2vec,lora,4,0.6575757575757576
music2vec,lora,7,0.6479713603818615
music2vec,lora,10,0.7144563918757467
music2vec,lora,mean,0.6547717823838856
music2vec,allora,1,0.6723940435280642
music2vec,allora,4,0.6292929292929293
music2vec,allora,7,0.6742243436754176
music2vec,allora,10,0.7395459976105138
music2vec,allora,mean,0.6788643285267313
data2vec_audio,lora,1,0.4868270332187858
data2vec_audio,lora,4,0.4797979797979798
data2vec_audio,lora,7,0.3937947494033413
data2vec_audio,lora,10,0.43608124253285546
data2vec_audio,lora,mean,0.4491252512382406
data2vec_audio,allora,1,0.572737686139748
data2vec_audio,allora,4,0.48383838383838385
data2vec_audio,allora,7,0.45346062052505964
data2vec_audio,allora,10,0.46117084826762245
data2vec_audio,allora,mean,0.4928018846927035
mert,frozen,1,0.520045816898346
mert,frozen,4,0.534343421459198
mert,frozen,7,0.4773269593715668
mert,frozen,10,0.581839919090271
mert,frozen,mean,0.5283890292048454
wavlm,frozen,1,0.5005727410316467
wavlm,frozen,4,0.37979796528816223
wavlm,frozen,7,0.4116944968700409
wavlm,frozen,10,0.4360812306404114
wavlm,frozen,mean,0.4320366084575653
whisper,frozen,1,0.1363115757703781
whisper,frozen,4,0.42424243688583374
whisper,frozen,7,0.4510739743709564
whisper,frozen,10,0.602150559425354
whisper,frozen,mean,0.40344463661313057
hubert,frozen,1,0.4879724979400635
hubert,frozen,4,0.4404040277004242
hubert,frozen,7,0.40811455249786377
hubert,frozen,10,0.5077658295631409
hubert,frozen,mean,0.4610642269253731
mms,frozen,1,0.32073310017585754
mms,frozen,4,0.34040403366088867
mms,frozen,7,0.35083532333374023
mms,frozen,10,0.3536439538002014
mms,frozen,mean,0.34140410274267197
wav2vec2,frozen,1,0.17754867672920227
wav2vec2,frozen,4,0.15353535115718842
wav2vec2,frozen,7,0.14677804708480835
wav2vec2,frozen,10,0.11827956885099411
wav2vec2,frozen,mean,0.1490354109555483
encodecmae,frozen,1,0.6265750527381897
encodecmae,frozen,4,0.6373737454414368
encodecmae,frozen,7,0.5489259958267212
encodecmae,frozen,10,0.6117084622383118
encodecmae,frozen,mean,0.6061458140611649
wavlm,allora,1,0.5349369988545246
wavlm,allora,4,0.502020202020202
wavlm,allora,7,0.431980906921241
wavlm,allora,10,0.5471923536439666
wavlm,allora,mean,0.5040326153599836
wavlm,lora,1,0.5498281786941581
wavlm,lora,4,0.5080808080808081
wavlm,lora,7,0.4331742243436754
wavlm,lora,10,0.5483870967741935
wavlm,lora,mean,0.5098675769732088
bird_mae,lora,1,0.8052691867124857
bird_mae,lora,4,0.8636363636363636
bird_mae,lora,7,0.8054892601431981
bird_mae,lora,10,0.8769414575866189
bird_mae,lora,mean,0.8378340670196666
whisper,lora,1,0.7605956471935853
whisper,lora,4,0.7252525252525253
whisper,lora,7,0.733890214797136
whisper,lora,10,0.7801672640382318
whisper,lora,mean,0.7499764128203696
whisper,allora,1,0.7640320733104238
whisper,allora,4,0.7303030303030303
whisper,allora,7,0.7589498806682577
whisper,allora,10,0.7837514934289128
whisper,allora,mean,0.7592591194276562
clap,lora,1,0.8213058419243986
clap,lora,4,0.8646464646464647
clap,lora,7,0.8627684964200477
clap,lora,10,0.9008363201911589
clap,lora,mean,0.8623892807955175
clap,allora,1,0.7938144329896907
clap,allora,4,0.8656565656565657
clap,allora,7,0.8138424821002387
clap,allora,10,0.8984468339307049
clap,allora,mean,0.8429400786693
mms,lora,1,0.6231386025200458
mms,lora,4,0.5969696969696969
mms,lora,7,0.6205250596658711
mms,lora,10,0.6905615292712067
mms,lora,mean,0.6327987221067052
hubert,lora,1,0.6609392898052692
hubert,lora,4,0.6303030303030303
hubert,lora,7,0.5763723150357996
hubert,lora,10,0.6690561529271206
hubert,lora,mean,0.634167697017805
hubert,allora,1,0.6082474226804123
hubert,allora,4,0.6151515151515151
hubert,allora,7,0.5334128878281623
hubert,allora,10,0.6129032258064516
hubert,allora,mean,0.5924287628666354
mms,allora,1,0.6013745704467354
mms,allora,4,0.6303030303030303
mms,allora,7,0.5894988066825776
mms,allora,10,0.7694145758661888
mms,allora,mean,0.647647745824633
wav2vec2,lora,1,0.32531500572737687
wav2vec2,lora,4,0.3181818181818182
wav2vec2,lora,7,0.3532219570405728
wav2vec2,lora,10,0.3321385902031063
wav2vec2,lora,mean,0.33221434278821854
wav2vec2,allora,1,0.422680412371134
wav2vec2,allora,4,0.4070707070707071
wav2vec2,allora,7,0.3031026252983294
wav2vec2,allora,10,0.36081242532855434
wav2vec2,allora,mean,0.3734165425171812
ast,allora,1,0.8487972508591065
ast,allora,4,0.8666666666666667
ast,allora,7,0.8902147971360382
ast,allora,10,0.8984468339307049
ast,allora,mean,0.8760313871481291
ast,lora,1,0.8671248568155785
ast,lora,4,0.8808080808080808
ast,lora,7,0.8615751789976134
ast,lora,10,0.9091995221027479
ast,lora,mean,0.8796769096810051
wav2vec2_conformer,frozen,1,0.46849942207336426
wav2vec2_conformer,frozen,4,0.47575756907463074
wav2vec2_conformer,frozen,7,0.35560858249664307
wav2vec2_conformer,frozen,10,0.458781361579895
wav2vec2_conformer,frozen,mean,0.43966173380613327
bird_mae,allora,1,0.8155784650630011
bird_mae,allora,4,0.8454545454545455
bird_mae,allora,7,0.8114558472553699
bird_mae,allora,10,0.8530465949820788
bird_mae,allora,mean,0.8313838631887488
mert,lora,1,0.7789232531500573
mert,lora,4,0.7313131313131314
mert,lora,7,0.747016706443914
mert,lora,10,0.8100358422939068
mert,lora,mean,0.7668222333002523
mert,allora,1,0.7308132875143184
mert,allora,4,0.7838383838383839
mert,allora,7,0.7410501193317423
mert,allora,10,0.8040621266427718
mert,allora,mean,0.764940979331804
bird_mae,lora,1,0.8144329896907216
bird_mae,lora,4,0.8555555555555555
bird_mae,lora,7,0.8424821002386634
bird_mae,lora,10,0.9044205495818399
bird_mae,lora,mean,0.8542227987666952
sew,allora,1,0.6517754868270332
sew,allora,4,0.6474747474747474
sew,allora,7,0.6181384248210023
sew,allora,10,0.6821983273596177
sew,allora,mean,0.6498967466206002
data2vec_audio,lora,1,0.4879725085910653
data2vec_audio,lora,4,0.4505050505050505
data2vec_audio,lora,7,0.45704057279236276
data2vec_audio,lora,10,0.42891278375149344
data2vec_audio,lora,mean,0.456107728909993
data2vec_audio,allora,1,0.579610538373425
data2vec_audio,allora,4,0.5191919191919192
data2vec_audio,allora,7,0.4880668257756563
data2vec_audio,allora,10,0.5925925925925926
data2vec_audio,allora,mean,0.5448654689833983
audio_jepa,frozen,1,0.3138602375984192
audio_jepa,frozen,4,0.26868686079978943
audio_jepa,frozen,7,0.3245823383331299
audio_jepa,frozen,10,0.418160080909729
audio_jepa,frozen,mean,0.3313223794102669
data2vec_audio,frozen,1,0.26345932483673096
data2vec_audio,frozen,4,0.2010101079940796
data2vec_audio,frozen,7,0.2553699314594269
data2vec_audio,frozen,10,0.24731183052062988
data2vec_audio,frozen,mean,0.24178779870271683
bird_mae,frozen,1,0.7239404320716858
bird_mae,frozen,4,0.6202020049095154
bird_mae,frozen,7,0.6551312804222107
bird_mae,frozen,10,0.6929510235786438
bird_mae,frozen,mean,0.6730561852455139
ast,frozen,1,0.8533791303634644
ast,frozen,4,0.855555534362793
ast,frozen,7,0.8556085824966431
ast,frozen,10,0.8745519518852234
ast,frozen,mean,0.859773799777031
audiomae,frozen,1,0.27491408586502075
audiomae,frozen,4,0.4535353481769562
audiomae,frozen,7,0.40811455249786377
audiomae,frozen,10,0.44802868366241455
audiomae,frozen,mean,0.3961481675505638
panns_cnn14,frozen,1,0.8465062975883484
panns_cnn14,frozen,4,0.7484848499298096
panns_cnn14,frozen,7,0.7923627495765686
panns_cnn14,frozen,10,0.821983277797699
panns_cnn14,frozen,mean,0.8023342937231064
sew,frozen,1,0.36655211448669434
sew,frozen,4,0.4060606062412262
sew,frozen,7,0.30310261249542236
sew,frozen,10,0.2795698940753937
sew,frozen,mean,0.33882130682468414
music2vec,frozen,1,0.37457045912742615
music2vec,frozen,4,0.243434339761734
music2vec,frozen,7,0.23508353531360626
music2vec,frozen,10,0.34169653058052063
