model,n_params,note
ast,86187264,
audio_jepa,85351680,
audiomae,111656448,
bird_mae,85453056,
clap,193913882,
data2vec_audio,93164288,
hubert,315438720,
mert,315428992,
mms,315438720,
music2vec,93164288,
musicfm,328932480,
panns_cnn14,81837071,
sew,40708895,
unispeech_sat,94371712,
wav2vec2,315438720,
wav2vec2_conformer,618559104,
wavlm,94381936,
whisper,20590592,encoder-only (decoder is never used, see whisper.py's never-touch-the-decoder policy); full encoder+decoder is 72593920
