model,speech_shift,music_shift
ast,1.1957951784133911,1.1434463262557983
audio_jepa,1.7278738021850586,1.2362526655197144
audiomae,1.1440370082855225,1.0840362310409546
bird_mae,1.9843984842300415,1.1355363130569458
clap,1.232578992843628,1.165419101715088
data2vec_audio,1.1276931762695312,1.0578007698059082
encodecmae,1.287368893623352,1.176452875137329
hubert,1.5822778940200806,1.237704873085022
mert,1.2387558221817017,1.144188642501831
mms,1.5391043424606323,1.7172664403915405
music2vec,1.1411921977996826,1.0656405687332153
musicfm,1.2265342473983765,1.0851998329162598
panns_cnn14,1.320655345916748,1.1419295072555542
sew,1.5800526142120361,1.051924228668213
unispeech_sat,1.3288253545761108,1.1373310089111328
wav2vec2,2.60792875289917,1.4790973663330078
wav2vec2_conformer,1.4088349342346191,1.2020519971847534
wavlm,1.2941683530807495,1.2372937202453613
whisper,1.3597861528396606,1.5870164632797241
