,ast,audio_jepa,audiomae,bird_mae,birdnet,clap,data2vec_audio,hubert,mert,mms,music2vec,musicfm,panns_cnn14,sew,unispeech_sat,wav2vec2,wav2vec2_conformer,whisper
ast,1.0000,0.7573,0.4372,0.2971,0.1339,0.5450,0.3696,0.0170,0.3107,0.3808,0.1805,0.4140,0.7143,0.1343,0.1149,-0.0482,0.3659,0.6560
audio_jepa,0.7573,1.0000,0.5220,0.3984,0.0574,0.5399,0.3521,0.0154,0.2390,0.4279,0.1958,0.4164,0.6003,0.0536,0.0846,-0.0766,0.3789,0.7233
audiomae,0.4372,0.5220,1.0000,0.3811,-0.1212,0.3109,0.2442,0.2193,0.0997,0.3259,0.1850,0.1412,0.3949,0.0499,0.1662,0.0855,0.2862,0.6000
bird_mae,0.2971,0.3984,0.3811,1.0000,0.2106,0.4510,0.2532,0.4283,0.2833,0.5808,0.3574,0.4014,0.3611,0.3678,0.5719,0.3618,0.4896,0.4045
birdnet,0.1339,0.0574,-0.1212,0.2106,1.0000,0.1867,0.1563,0.0822,0.2427,0.1387,0.1300,0.3195,0.1504,0.3897,0.2353,0.1455,0.2343,-0.1130
clap,0.5450,0.5399,0.3109,0.4510,0.1867,1.0000,0.2939,0.3102,0.2388,0.4505,0.1997,0.3585,0.5639,0.2579,0.3657,0.2348,0.3826,0.4997
data2vec_audio,0.3696,0.3521,0.2442,0.2532,0.1563,0.2939,1.0000,0.1788,0.0986,0.2596,0.0861,0.1222,0.3287,0.2145,0.2333,0.1376,0.2754,0.3999
hubert,0.0170,0.0154,0.2193,0.4283,0.0822,0.3102,0.1788,1.0000,0.2546,0.4217,0.1004,0.0058,0.2026,0.5469,0.7222,0.8048,0.4012,0.3315
mert,0.3107,0.2390,0.0997,0.2833,0.2427,0.2388,0.0986,0.2546,1.0000,0.2953,0.1840,0.5103,0.2957,0.4854,0.3414,0.3124,0.2977,0.1564
mms,0.3808,0.4279,0.3259,0.5808,0.1387,0.4505,0.2596,0.4217,0.2953,1.0000,0.2968,0.3490,0.4037,0.3801,0.5203,0.3697,0.4808,0.4498
music2vec,0.1805,0.1958,0.1850,0.3574,0.1300,0.1997,0.0861,0.1004,0.1840,0.2968,1.0000,0.2544,0.2066,0.1576,0.2095,0.0967,0.2079,0.2016
musicfm,0.4140,0.4164,0.1412,0.4014,0.3195,0.3585,0.1222,0.0058,0.5103,0.3490,0.2544,1.0000,0.2977,0.2669,0.2227,0.0352,0.2915,0.1680
panns_cnn14,0.7143,0.6003,0.3949,0.3611,0.1504,0.5639,0.3287,0.2026,0.2957,0.4037,0.2066,0.2977,1.0000,0.2233,0.2645,0.1411,0.4019,0.5880
sew,0.1343,0.0536,0.0499,0.3678,0.3897,0.2579,0.2145,0.5469,0.4854,0.3801,0.1576,0.2669,0.2233,1.0000,0.6456,0.5902,0.4112,0.1668
unispeech_sat,0.1149,0.0846,0.1662,0.5719,0.2353,0.3657,0.2333,0.7222,0.3414,0.5203,0.2095,0.2227,0.2645,0.6456,1.0000,0.7087,0.4779,0.2983
wav2vec2,-0.0482,-0.0766,0.0855,0.3618,0.1455,0.2348,0.1376,0.8048,0.3124,0.3697,0.0967,0.0352,0.1411,0.5902,0.7087,1.0000,0.3303,0.1808
wav2vec2_conformer,0.3659,0.3789,0.2862,0.4896,0.2343,0.3826,0.2754,0.4012,0.2977,0.4808,0.2079,0.2915,0.4019,0.4112,0.4779,0.3303,1.0000,0.4308
whisper,0.6560,0.7233,0.6000,0.4045,-0.1130,0.4997,0.3999,0.3315,0.1564,0.4498,0.2016,0.1680,0.5880,0.1668,0.2983,0.1808,0.4308,1.0000
