model,held_out_machine,accuracy
sew,fan,0.27
sew,pump,0.5025
sew,slider,0.42
sew,valve,0.485
sew,mean,0.41937499999999994
bird_mae,fan,0.4925
bird_mae,pump,0.4625
bird_mae,slider,0.5075
bird_mae,valve,0.485
bird_mae,mean,0.48687499999999995
unispeech_sat,fan,0.525
unispeech_sat,pump,0.435
unispeech_sat,slider,0.3975
unispeech_sat,valve,0.515
unispeech_sat,mean,0.468125
data2vec_audio,fan,0.4975
data2vec_audio,pump,0.53
data2vec_audio,slider,0.4275
data2vec_audio,valve,0.505
data2vec_audio,mean,0.49
music2vec,fan,0.4875
music2vec,pump,0.49
music2vec,slider,0.5125
music2vec,valve,0.55
music2vec,mean,0.51
clap,fan,0.485
clap,pump,0.425
clap,slider,0.645
clap,valve,0.45
clap,mean,0.50125
ast,fan,0.53
ast,pump,0.445
ast,slider,0.4875
ast,valve,0.4775
ast,mean,0.48500000000000004
whisper,fan,0.475
whisper,pump,0.4825
whisper,slider,0.4475
whisper,valve,0.505
whisper,mean,0.47750000000000004
wavlm,fan,0.395
wavlm,pump,0.5075
wavlm,slider,0.325
wavlm,valve,0.4675
wavlm,mean,0.42375
hubert,fan,0.5
hubert,pump,0.525
hubert,slider,0.4825
hubert,valve,0.4525
hubert,mean,0.49
mms,fan,0.5
mms,pump,0.5
mms,slider,0.545
mms,valve,0.5
mms,mean,0.51125
wav2vec2,fan,0.4925
wav2vec2,pump,0.4775
wav2vec2,slider,0.3075
wav2vec2,valve,0.5125
wav2vec2,mean,0.44749999999999995
mert,fan,0.555
mert,pump,0.455
mert,slider,0.505
mert,valve,0.51
mert,mean,0.5062500000000001
wav2vec2_conformer,fan,0.51
wav2vec2_conformer,pump,0.4875
wav2vec2_conformer,slider,0.535
wav2vec2_conformer,valve,0.5
wav2vec2_conformer,mean,0.508125
wav2vec2_conformer,fan,0.51
wav2vec2_conformer,pump,0.4875
wav2vec2_conformer,slider,0.535
wav2vec2_conformer,valve,0.5
wav2vec2_conformer,mean,0.508125
