model,machine_type,accuracy
sew,fan,0.69
sew,pump,0.4370860927152318
sew,slider,0.328719723183391
sew,valve,0.615625
sew,mean,0.5178577039746557
bird_mae,fan,0.4425
bird_mae,pump,0.695364238410596
bird_mae,slider,0.3633217993079585
bird_mae,valve,0.58125
bird_mae,mean,0.5206090094296387
unispeech_sat,fan,0.49
unispeech_sat,pump,0.9205298013245033
unispeech_sat,slider,0.3494809688581315
unispeech_sat,valve,0.640625
unispeech_sat,mean,0.6001589425456587
music2vec,fan,0.565
music2vec,pump,0.44039735099337746
music2vec,slider,0.6505190311418685
music2vec,valve,0.20625
music2vec,mean,0.46554159553381147
data2vec_audio,fan,0.4975
data2vec_audio,pump,0.4735099337748344
data2vec_audio,slider,0.5986159169550173
data2vec_audio,valve,0.625
data2vec_audio,mean,0.5486564626824629
clap,fan,0.47
clap,pump,0.5231788079470199
clap,slider,0.3079584775086505
clap,valve,0.603125
clap,mean,0.4760655713639176
whisper,fan,0.73
whisper,pump,0.5728476821192053
whisper,slider,0.3217993079584775
whisper,valve,0.659375
whisper,mean,0.5710054975194208
ast,fan,0.4675
ast,pump,0.4602649006622517
ast,slider,0.3633217993079585
ast,valve,0.628125
ast,mean,0.47980292499255256
wavlm,fan,0.8075
wavlm,pump,0.6622516556291391
wavlm,slider,0.7058823529411765
wavlm,valve,0.625
wavlm,mean,0.7001585021425789
hubert,fan,0.845
hubert,pump,0.6622516556291391
hubert,slider,0.5190311418685121
hubert,valve,0.625
hubert,mean,0.6628206993744128
mms,fan,0.2175
mms,pump,0.5761589403973509
mms,slider,0.3079584775086505
mms,valve,0.528125
mms,mean,0.40743560447650035
wav2vec2,fan,0.5
wav2vec2,pump,0.6721854304635762
wav2vec2,slider,0.6262975778546713
wav2vec2,valve,0.61875
wav2vec2,mean,0.6043082520795618
mert,fan,0.4475
mert,pump,0.423841059602649
mert,slider,0.36678200692041524
mert,valve,0.675
mert,mean,0.4782807666307661
wav2vec2_conformer,fan,0.4875
wav2vec2_conformer,pump,0.5463576158940397
wav2vec2_conformer,slider,0.6885813148788927
wav2vec2_conformer,valve,0.584375
wav2vec2_conformer,mean,0.5767034826932331
wav2vec2_conformer,fan,0.4875
wav2vec2_conformer,pump,0.5463576158940397
wav2vec2_conformer,slider,0.6885813148788927
wav2vec2_conformer,valve,0.584375
wav2vec2_conformer,mean,0.5767034826932331
