model,held_out_machine,accuracy
panns_cnn14,fan,0.5425000190734863
panns_cnn14,pump,0.5525000095367432
panns_cnn14,slider,0.48750001192092896
panns_cnn14,valve,0.48750001192092896
panns_cnn14,mean,0.5175000131130219
sew,fan,0.4975000023841858
sew,pump,0.49000000953674316
sew,slider,0.4300000071525574
sew,valve,0.4699999988079071
sew,mean,0.47187500447034836
unispeech_sat,fan,0.48249998688697815
unispeech_sat,pump,0.6175000071525574
unispeech_sat,slider,0.5575000047683716
unispeech_sat,valve,0.5099999904632568
unispeech_sat,mean,0.541874997317791
music2vec,fan,0.5
music2vec,pump,0.5350000262260437
music2vec,slider,0.5
music2vec,valve,0.6100000143051147
music2vec,mean,0.5362500101327896
audio_jepa,fan,0.4950000047683716
audio_jepa,pump,0.5299999713897705
audio_jepa,slider,0.5950000286102295
audio_jepa,valve,0.5074999928474426
audio_jepa,mean,0.5318749994039536
wavlm,fan,0.4399999976158142
wavlm,pump,0.4724999964237213
wavlm,slider,0.5
wavlm,valve,0.5
wavlm,mean,0.4781249985098839
data2vec_audio,fan,0.5099999904632568
data2vec_audio,pump,0.6324999928474426
data2vec_audio,slider,0.6324999928474426
data2vec_audio,valve,0.5174999833106995
data2vec_audio,mean,0.5731249898672104
musicfm,fan,0.45500001311302185
musicfm,pump,0.5699999928474426
musicfm,slider,0.5525000095367432
musicfm,valve,0.4950000047683716
musicfm,mean,0.5181250050663948
audiomae,fan,0.4699999988079071
audiomae,pump,0.5
audiomae,slider,0.5174999833106995
audiomae,valve,0.5099999904632568
audiomae,mean,0.49937499314546585
ast,fan,0.5325000286102295
ast,pump,0.4625000059604645
ast,slider,0.6700000166893005
ast,valve,0.550000011920929
ast,mean,0.5537500157952309
bird_mae,fan,0.5
bird_mae,pump,0.5400000214576721
bird_mae,slider,0.5224999785423279
bird_mae,valve,0.4975000023841858
bird_mae,mean,0.5150000005960464
whisper,fan,0.48249998688697815
whisper,pump,0.5
whisper,slider,0.5074999928474426
whisper,valve,0.49000000953674316
whisper,mean,0.494999997317791
hubert,fan,0.45500001311302185
hubert,pump,0.5
hubert,slider,0.35249999165534973
hubert,valve,0.5325000286102295
hubert,mean,0.46000000834465027
mms,fan,0.5
mms,pump,0.5
mms,slider,0.5
mms,valve,0.5
mms,mean,0.5
wav2vec2,fan,0.5
wav2vec2,pump,0.5
wav2vec2,slider,0.48750001192092896
wav2vec2,valve,0.5
wav2vec2,mean,0.49687500298023224
clap,fan,0.5
clap,pump,0.3700000047683716
clap,slider,0.39250001311302185
clap,valve,0.5
clap,mean,0.44062500447034836
mert,fan,0.42250001430511475
mert,pump,0.5575000047683716
mert,slider,0.47999998927116394
mert,valve,0.4975000023841858
mert,mean,0.489375002682209
wav2vec2_conformer,fan,0.512499988079071
wav2vec2_conformer,pump,0.4650000035762787
wav2vec2_conformer,slider,0.39500001072883606
wav2vec2_conformer,valve,0.4724999964237213
wav2vec2_conformer,mean,0.4612499997019768
encodecmae,fan,0.5575000047683716
encodecmae,pump,0.5400000214576721
encodecmae,slider,0.46000000834465027
encodecmae,valve,0.4975000023841858
encodecmae,mean,0.5137500092387199
