model,machine_type,accuracy
sew,fan,0.49000000953674316
sew,pump,0.6622516512870789
sew,slider,0.5640138387680054
sew,valve,0.625
sew,mean,0.5853163748979568
panns_cnn14,fan,0.45249998569488525
panns_cnn14,pump,0.6622516512870789
panns_cnn14,slider,0.7854671478271484
panns_cnn14,valve,0.625
panns_cnn14,mean,0.6313046962022781
unispeech_sat,fan,0.5575000047683716
unispeech_sat,pump,0.6622516512870789
unispeech_sat,slider,0.733564019203186
unispeech_sat,valve,0.6000000238418579
unispeech_sat,mean,0.6383289247751236
wavlm,fan,0.36000001430511475
wavlm,pump,0.6622516512870789
wavlm,slider,0.6920415163040161
wavlm,valve,0.625
wavlm,mean,0.5848232954740524
music2vec,fan,0.5425000190734863
music2vec,pump,0.6622516512870789
music2vec,slider,0.6643598675727844
music2vec,valve,0.625
music2vec,mean,0.6235278844833374
data2vec_audio,fan,0.16750000417232513
data2vec_audio,pump,0.6655629277229309
data2vec_audio,slider,0.6955017447471619
data2vec_audio,valve,0.625
data2vec_audio,mean,0.5383911691606045
audio_jepa,fan,0.4724999964237213
audio_jepa,pump,0.6622516512870789
audio_jepa,slider,0.34602075815200806
audio_jepa,valve,0.625
audio_jepa,mean,0.5264431014657021
bird_mae,fan,0.4925000071525574
bird_mae,pump,0.692052960395813
bird_mae,slider,0.6055363416671753
bird_mae,valve,0.625
bird_mae,mean,0.6037723273038864
audiomae,fan,0.5
audiomae,pump,0.7384105920791626
audiomae,slider,0.37370243668556213
audiomae,valve,0.628125011920929
audiomae,mean,0.5600595101714134
mms,fan,0.5
mms,pump,0.6622516512870789
mms,slider,0.4463667869567871
mms,valve,0.625
mms,mean,0.5584046095609665
wav2vec2,fan,0.5
wav2vec2,pump,0.6622516512870789
wav2vec2,slider,0.6920415163040161
wav2vec2,valve,0.625
wav2vec2,mean,0.6198232918977737
whisper,fan,0.4424999952316284
whisper,pump,0.6622516512870789
whisper,slider,0.6920415163040161
whisper,valve,0.625
whisper,mean,0.6054482907056808
musicfm,fan,0.4650000035762787
musicfm,pump,0.9271523356437683
musicfm,slider,0.6920415163040161
musicfm,valve,0.625
musicfm,mean,0.6772984638810158
hubert,fan,0.574999988079071
hubert,pump,0.6622516512870789
hubert,slider,0.7370242476463318
hubert,valve,0.625
hubert,mean,0.6498189717531204
ast,fan,0.38749998807907104
ast,pump,0.6357616186141968
ast,slider,0.3148788809776306
ast,valve,0.643750011920929
ast,mean,0.49547262489795685
clap,fan,0.25999999046325684
clap,pump,0.6622516512870789
clap,slider,0.6885812878608704
clap,valve,0.625
clap,mean,0.5589582324028015
mert,fan,0.4124999940395355
mert,pump,0.6986755132675171
mert,slider,0.5813148617744446
mert,valve,0.621874988079071
mert,mean,0.5785913392901421
wav2vec2_conformer,fan,0.38999998569488525
wav2vec2_conformer,pump,0.6622516512870789
wav2vec2_conformer,slider,0.6955017447471619
wav2vec2_conformer,valve,0.625
wav2vec2_conformer,mean,0.5931883454322815
encodecmae,fan,0.4449999928474426
encodecmae,pump,0.6622516512870789
encodecmae,slider,0.6955017447471619
encodecmae,valve,0.625
encodecmae,mean,0.6069383472204208
