model,fold,accuracy
ast,0,0.248868778280543
ast,1,0.2833333333333333
ast,2,0.6111111111111112
ast,mean,0.3811044075749958
music2vec,0,0.2579185520361991
music2vec,1,0.35
music2vec,2,0.5763888888888888
music2vec,mean,0.39476914697502935
mert,0,0.20361990950226244
mert,1,0.2722222222222222
mert,2,0.6527777777777778
mert,mean,0.37620663650075414
hubert,0,0.33031674208144796
hubert,1,0.31666666666666665
hubert,2,0.3888888888888889
hubert,mean,0.34529076587900115
wav2vec2,0,0.3665158371040724
wav2vec2,1,0.16111111111111112
wav2vec2,2,0.3888888888888889
wav2vec2,mean,0.3055052790346908
