model,held_out_machine,accuracy
music2vec,fan,0.49
music2vec,pump,0.4075
music2vec,slider,0.51
music2vec,valve,0.5475
music2vec,mean,0.48875
mert,fan,0.5025
mert,pump,0.485
mert,slider,0.52
mert,valve,0.4325
mert,mean,0.485
hubert,fan,0.5
hubert,pump,0.51
hubert,slider,0.3975
hubert,valve,0.5
hubert,mean,0.476875
ast,fan,0.54
ast,pump,0.5
ast,slider,0.4825
ast,valve,0.475
ast,mean,0.499375
wav2vec2,fan,0.515
wav2vec2,pump,0.4875
wav2vec2,slider,0.3825
wav2vec2,valve,0.4475
wav2vec2,mean,0.458125
