model,machine_type,accuracy
sew,fan,0.845
sew,pump,0.6258278145695364
sew,slider,0.3079584775086505
sew,valve,0.63125
sew,mean,0.6025090730195467
unispeech_sat,fan,0.52
unispeech_sat,pump,0.6158940397350994
unispeech_sat,slider,0.8166089965397924
unispeech_sat,valve,0.63125
unispeech_sat,mean,0.6459382590687229
music2vec,fan,0.715
music2vec,pump,0.45695364238410596
music2vec,slider,0.5674740484429066
music2vec,valve,0.61875
music2vec,mean,0.5895444227067531
bird_mae,fan,0.515
bird_mae,pump,0.6754966887417219
bird_mae,slider,0.34256055363321797
bird_mae,valve,0.6125
bird_mae,mean,0.536389310593735
data2vec_audio,fan,0.4975
data2vec_audio,pump,0.6622516556291391
data2vec_audio,slider,0.6816608996539792
data2vec_audio,valve,0.625
data2vec_audio,mean,0.6166031388207796
wavlm,fan,0.7675
wavlm,pump,0.7119205298013245
wavlm,slider,0.6920415224913494
wavlm,valve,0.625
wavlm,mean,0.6991155130731684
whisper,fan,0.265
whisper,pump,0.5099337748344371
whisper,slider,0.7162629757785467
whisper,valve,0.671875
whisper,mean,0.5407679376532459
clap,fan,0.47
clap,pump,0.5894039735099338
clap,slider,0.3460207612456747
clap,valve,0.615625
clap,mean,0.5052624336889021
ast,fan,0.445
ast,pump,0.4370860927152318
ast,slider,0.33217993079584773
ast,valve,0.665625
ast,mean,0.4699727558777699
hubert,fan,0.855
hubert,pump,0.6622516556291391
hubert,slider,0.5847750865051903
hubert,valve,0.625
hubert,mean,0.6817566855335824
wav2vec2,fan,0.495
wav2vec2,pump,0.7781456953642384
wav2vec2,slider,0.5051903114186851
wav2vec2,valve,0.625
wav2vec2,mean,0.6008340016957309
mert,fan,0.495
mert,pump,0.4105960264900662
mert,slider,0.3494809688581315
mert,valve,0.621875
mert,mean,0.4692379988370494
mms,fan,0.4525
mms,pump,0.6026490066225165
mms,slider,0.5121107266435986
mms,valve,0.625
mms,mean,0.5480649333165287
wav2vec2_conformer,fan,0.66
wav2vec2_conformer,pump,0.5993377483443708
wav2vec2_conformer,slider,0.3737024221453287
wav2vec2_conformer,valve,0.54375
wav2vec2_conformer,mean,0.5441975426224248
