model,condition,best_val_acc,test_acc
ast,frozen,0.22018349170684814,0.20270270109176636
audio_jepa,frozen,0.15443424880504608,0.20045045018196106
audiomae,frozen,0.24464832246303558,0.21846847236156464
bird_mae,frozen,0.12232416123151779,0.19144144654273987
clap,frozen,0.12232416123151779,0.19144144654273987
data2vec_audio,frozen,0.197247713804245,0.1621621549129486
encodecmae,frozen,0.2278287410736084,0.22297297418117523
hubert,frozen,0.1987767517566681,0.18693692982196808
mert,frozen,0.2584097981452942,0.18468467891216278
mms,frozen,0.1360856294631958,0.20495495200157166
music2vec,frozen,0.19266055524349213,0.18693692982196808
musicfm,frozen,0.23700305819511414,0.20720720291137695
panns_cnn14,frozen,0.20183485746383667,0.1621621549129486
sew,frozen,0.12996941804885864,0.20270270109176636
unispeech_sat,frozen,0.16360856592655182,0.23198197782039642
wav2vec2,frozen,0.1360856294631958,0.20495495200157166
wav2vec2_conformer,frozen,0.12691131234169006,0.19144144654273987
wavlm,frozen,0.24617737531661987,0.19819819927215576
whisper,frozen,0.1376146823167801,0.18918919563293457
ast,lora,0.28134556574923547,0.25225225225225223
bird_mae,lora,0.3440366972477064,0.32432432432432434
clap,lora,0.28593272171253825,0.19594594594594594
data2vec_audio,lora,0.12232415902140673,0.19144144144144143
hubert,lora,0.21406727828746178,0.21621621621621623
mert,lora,0.3119266055045872,0.23873873873873874
mms,lora,0.28134556574923547,0.22297297297297297
music2vec,lora,0.30275229357798167,0.24549549549549549
sew,lora,0.18960244648318042,0.15315315315315314
unispeech_sat,lora,0.27217125382262997,0.2072072072072072
wav2vec2,lora,0.2782874617737003,0.2072072072072072
wav2vec2_conformer,lora,0.2798165137614679,0.23873873873873874
wavlm,lora,0.2492354740061162,0.15315315315315314
whisper,lora,0.31345565749235477,0.27702702702702703
audio_jepa,topk_unfreeze,0.29204892966360857,0.19369369369369369
audiomae,topk_unfreeze,0.3348623853211009,0.26576576576576577
musicfm,topk_unfreeze,0.3103975535168196,0.20045045045045046
panns_cnn14,topk_unfreeze,0.1651376146788991,0.18018018018018017
