,ast,audio_jepa,audiomae,bird_mae,clap,data2vec_audio,encodecmae,hubert,mert,mms,music2vec,musicfm,panns_cnn14,sew,unispeech_sat,wav2vec2,wav2vec2_conformer,wavlm,whisper
ast,1.0000,0.5638,0.7555,0.7413,0.7044,0.0709,0.3897,0.2655,0.3384,0.3534,0.1168,0.5737,0.7510,0.3582,0.3222,0.1972,0.3688,0.2859,0.4837
audio_jepa,0.5638,1.0000,0.7886,0.7098,0.4308,0.0792,0.4279,0.2576,0.4395,0.3136,0.0937,0.5484,0.5746,0.3256,0.2567,0.1486,0.3276,0.3913,0.4757
audiomae,0.7555,0.7886,1.0000,0.9063,0.6644,0.0876,0.5987,0.2844,0.5322,0.3782,0.1247,0.6752,0.6240,0.3410,0.3105,0.1804,0.4163,0.4523,0.5194
bird_mae,0.7413,0.7098,0.9063,1.0000,0.6561,0.0832,0.5706,0.3540,0.5109,0.4388,0.1553,0.7067,0.6253,0.4105,0.4076,0.2302,0.4194,0.3839,0.5450
clap,0.7044,0.4308,0.6644,0.6561,1.0000,0.0466,0.4400,0.1841,0.3891,0.3244,0.1046,0.5652,0.6213,0.3172,0.3187,0.1026,0.3015,0.2969,0.4029
data2vec_audio,0.0709,0.0792,0.0876,0.0832,0.0466,1.0000,0.1527,0.2015,0.1922,0.1674,0.0714,0.1257,0.0341,0.1179,0.1076,0.1393,0.2159,0.1750,0.1510
encodecmae,0.3897,0.4279,0.5987,0.5706,0.4400,0.1527,1.0000,0.4046,0.7734,0.4418,0.1891,0.6561,0.2683,0.3276,0.3484,0.2375,0.4178,0.5851,0.4683
hubert,0.2655,0.2576,0.2844,0.3540,0.1841,0.2015,0.4046,1.0000,0.5125,0.6326,0.1808,0.6021,0.1927,0.6525,0.6542,0.7703,0.5928,0.4220,0.4331
mert,0.3384,0.4395,0.5322,0.5109,0.3891,0.1922,0.7734,0.5125,1.0000,0.5092,0.1724,0.6813,0.2334,0.4130,0.4126,0.2871,0.5108,0.6742,0.5008
mms,0.3534,0.3136,0.3782,0.4388,0.3244,0.1674,0.4418,0.6326,0.5092,1.0000,0.2209,0.6337,0.2771,0.6247,0.5338,0.4667,0.5203,0.3039,0.3861
music2vec,0.1168,0.0937,0.1247,0.1553,0.1046,0.0714,0.1891,0.1808,0.1724,0.2209,1.0000,0.2143,0.0966,0.1825,0.1648,0.1210,0.1308,0.0842,0.1139
musicfm,0.5737,0.5484,0.6752,0.7067,0.5652,0.1257,0.6561,0.6021,0.6813,0.6337,0.2143,1.0000,0.4830,0.5384,0.5321,0.3403,0.5335,0.4126,0.4881
panns_cnn14,0.7510,0.5746,0.6240,0.6253,0.6213,0.0341,0.2683,0.1927,0.2334,0.2771,0.0966,0.4830,1.0000,0.3191,0.2698,0.1190,0.3461,0.2097,0.4466
sew,0.3582,0.3256,0.3410,0.4105,0.3172,0.1179,0.3276,0.6525,0.4130,0.6247,0.1825,0.5384,0.3191,1.0000,0.6883,0.5347,0.4860,0.3218,0.4560
unispeech_sat,0.3222,0.2567,0.3105,0.4076,0.3187,0.1076,0.3484,0.6542,0.4126,0.5338,0.1648,0.5321,0.2698,0.6883,1.0000,0.5138,0.4826,0.2849,0.3924
wav2vec2,0.1972,0.1486,0.1804,0.2302,0.1026,0.1393,0.2375,0.7703,0.2871,0.4667,0.1210,0.3403,0.1190,0.5347,0.5138,1.0000,0.4481,0.3353,0.3928
wav2vec2_conformer,0.3688,0.3276,0.4163,0.4194,0.3015,0.2159,0.4178,0.5928,0.5108,0.5203,0.1308,0.5335,0.3461,0.4860,0.4826,0.4481,1.0000,0.4233,0.3948
wavlm,0.2859,0.3913,0.4523,0.3839,0.2969,0.1750,0.5851,0.4220,0.6742,0.3039,0.0842,0.4126,0.2097,0.3218,0.2849,0.3353,0.4233,1.0000,0.4920
whisper,0.4837,0.4757,0.5194,0.5450,0.4029,0.1510,0.4683,0.4331,0.5008,0.3861,0.1139,0.4881,0.4466,0.4560,0.3924,0.3928,0.3948,0.4920,1.0000
