,ast,audio_jepa,audiomae,bird_mae,clap,data2vec_audio,encodecmae,hubert,mert,mms,music2vec,musicfm,panns_cnn14,sew,unispeech_sat,wav2vec2,wav2vec2_conformer,wavlm,whisper
ast,1.0000,0.7084,0.8363,0.8322,0.8510,0.1490,0.5110,0.4665,0.4371,0.5079,0.1085,0.7116,0.8855,0.5022,0.5250,0.2990,0.6250,0.4238,0.7233
audio_jepa,0.7084,1.0000,0.8616,0.8331,0.6986,0.2001,0.6955,0.4939,0.6559,0.5217,0.1318,0.7523,0.7230,0.5051,0.5196,0.3354,0.6459,0.6165,0.7030
audiomae,0.8363,0.8616,1.0000,0.9444,0.8500,0.1698,0.6678,0.4619,0.6021,0.5131,0.1213,0.7860,0.8050,0.4960,0.5147,0.3098,0.6678,0.5748,0.6981
bird_mae,0.8322,0.8331,0.9444,1.0000,0.8168,0.1855,0.6600,0.5423,0.5888,0.5647,0.1420,0.8079,0.8059,0.5557,0.5919,0.3782,0.6966,0.5401,0.7369
clap,0.8510,0.6986,0.8500,0.8168,1.0000,0.1208,0.5577,0.4003,0.5032,0.4918,0.0867,0.7512,0.8114,0.5030,0.5304,0.2457,0.5994,0.4501,0.6592
data2vec_audio,0.1490,0.2001,0.1698,0.1855,0.1208,1.0000,0.1617,0.3273,0.2398,0.2873,0.1075,0.2324,0.1577,0.2840,0.2392,0.3007,0.3319,0.2330,0.2602
encodecmae,0.5110,0.6955,0.6678,0.6600,0.5577,0.1617,1.0000,0.5285,0.7835,0.5301,0.1673,0.7563,0.5072,0.4641,0.5005,0.4011,0.5790,0.6100,0.5585
hubert,0.4665,0.4939,0.4619,0.5423,0.4003,0.3273,0.5285,1.0000,0.5315,0.7070,0.1817,0.7078,0.4452,0.6981,0.7187,0.7187,0.7215,0.4216,0.6274
mert,0.4371,0.6559,0.6021,0.5888,0.5032,0.2398,0.7835,0.5315,1.0000,0.5314,0.1555,0.7003,0.4458,0.4942,0.4930,0.3710,0.5854,0.6717,0.5408
mms,0.5079,0.5217,0.5131,0.5647,0.4918,0.2873,0.5301,0.7070,0.5314,1.0000,0.2343,0.6954,0.4978,0.7428,0.6874,0.5411,0.7300,0.4166,0.6018
music2vec,0.1085,0.1318,0.1213,0.1420,0.0867,0.1075,0.1673,0.1817,0.1555,0.2343,1.0000,0.1974,0.1111,0.2048,0.1673,0.1277,0.1605,0.1082,0.1247
musicfm,0.7116,0.7523,0.7860,0.8079,0.7512,0.2324,0.7563,0.7078,0.7003,0.6954,0.1974,1.0000,0.6825,0.6748,0.7007,0.4870,0.7301,0.5384,0.7304
panns_cnn14,0.8855,0.7230,0.8050,0.8059,0.8114,0.1577,0.5072,0.4452,0.4458,0.4978,0.1111,0.6825,1.0000,0.4961,0.5210,0.2878,0.6373,0.4616,0.7408
sew,0.5022,0.5051,0.4960,0.5557,0.5030,0.2840,0.4641,0.6981,0.4942,0.7428,0.2048,0.6748,0.4961,1.0000,0.8072,0.5147,0.6920,0.4203,0.6135
unispeech_sat,0.5250,0.5196,0.5147,0.5919,0.5304,0.2392,0.5005,0.7187,0.4930,0.6874,0.1673,0.7007,0.5210,0.8072,1.0000,0.5412,0.6984,0.4329,0.6424
wav2vec2,0.2990,0.3354,0.3098,0.3782,0.2457,0.3007,0.4011,0.7187,0.3710,0.5411,0.1277,0.4870,0.2878,0.5147,0.5412,1.0000,0.5461,0.3479,0.4721
wav2vec2_conformer,0.6250,0.6459,0.6678,0.6966,0.5994,0.3319,0.5790,0.7215,0.5854,0.7300,0.1605,0.7301,0.6373,0.6920,0.6984,0.5461,1.0000,0.5308,0.6907
wavlm,0.4238,0.6165,0.5748,0.5401,0.4501,0.2330,0.6100,0.4216,0.6717,0.4166,0.1082,0.5384,0.4616,0.4203,0.4329,0.3479,0.5308,1.0000,0.5436
whisper,0.7233,0.7030,0.6981,0.7369,0.6592,0.2602,0.5585,0.6274,0.5408,0.6018,0.1247,0.7304,0.7408,0.6135,0.6424,0.4721,0.6907,0.5436,1.0000
