model,task,mlp_score,knn_score,private
hubert,Free Music Archive Small,0.481735,0.243151,False
hubert,LibriSpeech-100h,0.855371,0.0,False
hubert,UrbanSound 8k,0.681657,0.321992,False
clap,Free Music Archive Small,0.686857,0.636571,False
clap,LibriSpeech-100h,0.0,0.0,False
clap,UrbanSound 8k,0.887562,0.853946,False
audio_jepa,Free Music Archive Small,0.552,0.435429,False
audio_jepa,LibriSpeech-100h,0.0,0.0,False
audio_jepa,UrbanSound 8k,0.556158,0.331413,False
musicfm,Free Music Archive Small,0.614857,0.496,False
musicfm,LibriSpeech-100h,0.0,0.0,False
musicfm,UrbanSound 8k,0.798797,0.586673,False
music2vec,Free Music Archive Small,0.521143,0.387429,False
music2vec,LibriSpeech-100h,0.019876,0.0,False
music2vec,UrbanSound 8k,0.601011,0.359774,False
wav2vec2,Free Music Archive Small,0.184932,0.151826,False
wav2vec2,LibriSpeech-100h,0.0,0.0,False
wav2vec2,UrbanSound 8k,0.226029,0.077893,False
mert,Free Music Archive Small,0.569635,0.359589,False
mert,LibriSpeech-100h,0.0,0.0,False
mert,UrbanSound 8k,0.773721,0.479862,False
audio_jepa,"DeepShip (vessel class, 63-clip subset)",0.402109,0.288498,True
clap,"DeepShip (vessel class, 63-clip subset)",0.369493,0.324907,True
hubert,"DeepShip (vessel class, 63-clip subset)",0.363836,0.354913,True
mert,"DeepShip (vessel class, 63-clip subset)",0.494235,0.336627,True
music2vec,"DeepShip (vessel class, 63-clip subset)",0.407542,0.293772,True
musicfm,"DeepShip (vessel class, 63-clip subset)",0.430177,0.385955,True
wav2vec2,"DeepShip (vessel class, 63-clip subset)",0.414685,0.309751,True
audio_jepa,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.089127,0.042706,True
clap,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.283829,0.18944,True
hubert,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.260137,0.068075,True
mert,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.249558,0.067786,True
music2vec,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.121018,0.048686,True
musicfm,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.247242,0.112687,True
wav2vec2,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.049288,0.034654,True
panns_cnn14,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.308439,0.133588,True
bird_mae,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.345088,0.182585,True
ast,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.394002,0.239392,True
audiomae,"BirdCLEF (50-species, mteb/birdclef25-mini)",0.167474,0.038848,True
